"","happylag","excitedlag","relaxedlag","satisfiedlag","angrylag","anxiouslag","depressedlag","sadlag","happy","excited","relaxed","satisfied","angry","anxious","depressed","sad"
"happylag",0.997,0.3173,0.4746,0.5899,-0.087,0.0632,-0.3986,-0.2039,0,0,0,0,0,0,0,0
"excitedlag",0.3173,0.9994,0.2145,0.3076,0.1689,0.1266,-0.145,0.0329,0,0,0,0,0,0,0,0
"relaxedlag",0.4746,0.2145,0.9935,0.5533,-0.0617,0.0903,-0.3693,-0.124,0,0,0,0,0,0,0,0
"satisfiedlag",0.5899,0.3076,0.5533,0.9956,0.1277,0.2615,-0.3789,-0.0329,0,0,0,0,0,0,0,0
"angrylag",-0.087,0.1689,-0.0617,0.1277,1.0128,0.5721,0.2126,0.5083,0,0,0,0,0,0,0,0
"anxiouslag",0.0632,0.1266,0.0903,0.2615,0.5721,0.9954,0.0736,0.4064,0,0,0,0,0,0,0,0
"depressedlag",-0.3986,-0.145,-0.3693,-0.3789,0.2126,0.0736,0.9897,0.2538,0,0,0,0,0,0,0,0
"sadlag",-0.2039,0.0329,-0.124,-0.0329,0.5083,0.4064,0.2538,1.0041,0,0,0,0,0,0,0,0
"happy",0,0,0,0,0,0,0,0,0.6894,0,0,0,0,0,0,0
"excited",0,0,0,0,0,0,0,0,0,0.7295,0,0,0,0,0,0
"relaxed",0,0,0,0,0,0,0,0,0,0,0.684,0,0,0,0,0
"satisfied",0,0,0,0,0,0,0,0,0,0,0,0.5612,0,0,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0.6971,0,0,0
"anxious",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6643,0,0
"depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8431,0
"sad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9124
